title	close	neutral	open
AmFeierabend	0.266666666666667	0.05	0.683333333333333
DanksagungAnDenBach	0.2	0.075	0.725
DasWandern	0.171428571428571	0.0428571428571429	0.785714285714286
DerJager	0.303370786516854	0.0337078651685393	0.662921348314607
DerMullerUndDerBach	0.40625	0.03125	0.5625
DerNeugierige	0.23728813559322	0	0.76271186440678
DesBachesWiegenlied	0.296296296296296	0	0.703703703703704
DesMullersBlumen	0.236842105263158	0.0263157894736842	0.736842105263158
DieBoseFarbe	0.349397590361446	0.0240963855421687	0.626506024096386
DieLiebeFarbe	0.333333333333333	0	0.666666666666667
EifersuchtUndStolz	0.28169014084507	0.028169014084507	0.690140845070423
Halt	0.0833333333333333	0	0.916666666666667
Mein	0.218181818181818	0	0.781818181818182
MitDemGrunenLautenbande	0.333333333333333	0.0303030303030303	0.636363636363636
Morgengruss	0.392857142857143	0.0476190476190476	0.55952380952381
NachtUndTraume	0.433333333333333	0	0.566666666666667
Pause	0.305555555555556	0.0416666666666667	0.652777777777778
Tranenregen	0.2125	0.0375	0.75
TrockneBlumen	0.396825396825397	0.0158730158730159	0.587301587301587
Ungeduld	0.296610169491525	0.0254237288135593	0.677966101694915
Wohin	0.126760563380282	0.0845070422535211	0.788732394366197
