Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,œ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,j,m,l,o,n,p,s,u,t,v,y,z,ɾ
Line 1,0,0,0,3,3,4,1,0,2,0,0,3,0,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
Line 2,0,1,0,3,2,4,1,0,2,0,0,2,1,0,2,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,2
Line 3,0,0,0,5,2,6,0,0,1,1,0,3,0,0,2,0,0,1,1,0,2,0,1,0,1,1,0,4,0,0,0,1,0,0,2,1
Line 4,0,0,0,4,1,5,0,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,3
Line 5,1,0,1,5,1,6,2,1,3,0,0,1,1,0,3,1,0,1,1,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1
Line 6,0,2,0,4,1,5,0,1,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,3,0,0,0,1
Line 7,0,0,0,4,2,5,2,0,4,0,0,1,1,0,3,1,0,1,2,1,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,1
Line 8,0,0,0,4,1,5,1,0,2,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,2,1,1,1,1,1,0,1,0,0,0,1
Line 9,1,0,0,3,3,4,2,0,2,0,0,1,1,0,2,2,1,0,1,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0
Line 10,0,1,1,5,0,5,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,3,1,1,1,0
Line 11,0,0,0,4,2,5,1,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,1,0,2,0,0,1
Line 12,0,0,3,4,1,5,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,2,1,0,0,1
Line 13,0,0,0,4,2,5,2,0,2,1,0,2,0,1,4,0,0,0,1,0,0,1,0,1,0,0,0,2,0,2,0,2,1,0,0,1
Line 14,0,0,0,3,2,4,2,0,2,0,0,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,1,0,0,0,1
Line 15,0,0,0,3,2,3,1,0,1,1,0,0,0,2,1,1,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1
Line 16,0,1,0,5,2,6,1,0,1,0,0,2,1,1,2,0,0,1,0,0,3,0,0,0,1,2,0,3,0,2,0,2,1,0,0,1
Line 17,1,0,0,3,3,5,2,0,2,0,0,1,1,0,2,2,1,0,1,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0
Line 18,1,0,0,3,1,5,0,0,2,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,2,1,2,0,0,0
Line 19,1,0,0,3,1,6,1,0,3,0,0,2,0,0,3,0,0,1,1,0,0,0,0,1,0,1,0,2,0,1,0,2,2,0,1,0
Line 20,0,0,0,5,1,5,1,0,2,0,0,0,1,0,2,1,0,0,2,0,2,0,1,0,1,2,0,1,1,0,0,1,0,0,2,0
