lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.13283996350417326,0.3335902718653787
line 2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1140222751685121,0.2863349309108928
line 3,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.04412094135324418,0.11079735670450384
line 4,0.75,0.0,0.25,0.43087765977438863,1.082028268250321
line 5,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.35575550562893654,0.89338006959505
line 6,0.3333333333333333,0.16666666666666666,0.5,0.19618272797802996,0.4926578405708962
line 7,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.04412094135324418,0.11079735670450384
line 8,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.2834905897160997,0.7119070225557481
line 9,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.35575550562893654,0.89338006959505
line 10,0.0,0.3333333333333333,0.6666666666666666,0.5313404716097835,1.3343124139884137
line 11,0.375,0.375,0.25,0.15826422367476128,0.39743616310590235
line 12,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.35575550562893654,0.89338006959505
line 13,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.2834905897160997,0.7119070225557481
line 14,0.375,0.125,0.5,0.20601967489899659,0.5173605709174568
line 15,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.04412094135324418,0.11079735670450384
line 16,0.625,0.25,0.125,0.3035972479868202,0.7623992496077617
line 17,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2005796843702297,0.5036995620495989
line 18,0.5,0.3333333333333333,0.16666666666666666,0.2121483847058915,0.5327511048858125
line 19,0.625,0.25,0.125,0.3035972479868202,0.7623992496077617
line 20,0.5,0.3333333333333333,0.16666666666666666,0.2121483847058915,0.5327511048858125
line 21,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.14829915313784356,0.3724116862701825
line 22,0.375,0.25,0.375,0.04995833734654865,0.1254563378200108
line 23,0.75,0.25,0.0,0.4803738291607281,1.2063240009976817
line 24,0.125,0.5,0.375,0.38134477839034187,0.9576403436280698
line 25,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.14829915313784356,0.3724116862701825
line 26,0.375,0.125,0.5,0.20601967489899659,0.5173605709174568
line 27,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.283906886233727,0.7129524343793334
line 28,0.5,0.0,0.5,0.30980655928807344,0.7779921915993241
