Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,p,s,r,t,v,y,z,ɾ
Line 1,0,0,0,2,2,3,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0
Line 2,0,0,0,3,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Line 3,0,0,0,3,1,4,1,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,1,1,0
Line 4,0,0,0,3,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,0,0,0,2
Line 5,0,0,0,3,1,4,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
Line 6,0,0,0,3,0,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
Line 7,0,0,0,3,1,4,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,1,0,1
Line 8,0,1,0,2,1,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Line 9,0,0,0,2,2,3,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,1
Line 10,0,0,0,3,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,3,0,0,0
Line 11,0,0,0,2,2,3,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,1
Line 12,0,0,0,2,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,1,0,1,0
Line 13,0,0,0,2,2,3,0,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1
Line 14,0,0,0,1,1,3,1,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,1
Line 15,0,0,0,2,3,3,0,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,0,0,0
Line 16,1,0,0,2,1,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,2,0,0,0,1,1,1,0,0
Line 17,0,0,1,3,1,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,3,1,0,0,0
Line 18,1,0,1,3,1,4,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,1
Line 19,0,0,1,2,2,3,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,2,0,3,0,0,0,1,1,1,0,1
Line 20,0,1,0,2,1,3,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
Line 21,0,0,1,2,2,3,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,3,0,3,0,0,0,1,0,1,0,0
Line 22,0,0,0,2,1,3,1,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1
Line 23,0,0,0,2,2,3,1,0,1,0,0,0,1,0,2,1,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0
Line 24,0,0,0,3,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Line 25,0,0,1,3,1,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,2,2,0,1,0
Line 26,0,0,0,2,2,3,1,0,1,0,1,1,1,0,2,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
Line 27,0,0,1,3,1,4,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0,0,2,0,1,0,3,0,0,0,1
Line 28,1,0,0,3,0,4,2,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,1
Line 29,0,0,0,2,2,3,1,0,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0
Line 30,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
Line 31,1,0,0,3,1,4,1,0,2,0,0,1,1,0,1,0,1,1,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0
Line 32,2,0,1,3,1,4,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,2,1,0,0,0
